geometry_id,run_id,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,detect_threshold_GeV,detection_efficiency,eff_lo,eff_hi,energy_resolution
592c849f,run5619c9fabe,10,3,3,4,3.9364,3.7426,4.4519,0.3616,0.5378,0.4287,0.1,5.0,,0.7246666666666667,0.008229110610681878,0.008079382742193553,0.3778272612373309
2601af3d,run94a1b8f55f,10,3,3,4,4.3242,4.0109,4.2145,0.55,0.5225,0.3138,0.1,5.0,,0.6853333333333333,0.008539003944566637,0.008415489560472555,0.38476381038612484
2601af3d,rund62d8a7264,10,3,3,4,4.3242,4.0109,4.2145,0.55,0.5225,0.3138,0.1,5.0,,0.6896666666666667,0.00850846058085264,0.00838205827051175,0.3699151254015374
2601af3d,runfe29977374,10,3,3,4,4.3242,4.0109,4.2145,0.55,0.5225,0.3138,0.1,5.0,,0.6906666666666667,0.008501289615973628,0.008374220861114057,0.3916709716320359
c1bba4df,run147ff149a7,10,3,3,4,4.4451,4.1104,4.467,0.5507,0.3448,0.4136,0.1,5.0,,0.7026666666666667,0.008411598510302376,0.008276532421221061,0.3935681892872762
c1bba4df,run65f7979fbe,10,3,3,4,4.4451,4.1104,4.467,0.5507,0.3448,0.4136,0.1,5.0,,0.6966666666666667,0.008457289366701315,0.008326221944730983,0.4051704808070566
c1bba4df,runc7bd612a1a,10,3,3,4,4.4451,4.1104,4.467,0.5507,0.3448,0.4136,0.1,5.0,,0.6876666666666666,0.008522664420221426,0.008397594998917457,0.3894987746946691
ecd57ace,run7f45bdb856,10,3,3,4,4.3268,3.877,4.0202,0.5901,0.4857,0.3213,0.1,5.0,,0.674,0.008614866172472757,0.008498904826254927,0.39529953732131207
ecd57ace,runf944fb7462,10,3,3,4,4.3268,3.877,4.0202,0.5901,0.4857,0.3213,0.1,5.0,,0.6803333333333333,0.008573183988402566,0.008453001826900786,0.3602572198682098
ecd57ace,rund64e719315,10,3,3,4,4.3268,3.877,4.0202,0.5901,0.4857,0.3213,0.1,5.0,,0.6833333333333333,0.008552811804588778,0.008430630309531617,0.38838783874096383
e09be8a8,rund0a926b30c,10,3,3,4,4.1177,4.4687,3.5207,0.4149,0.3055,0.5081,0.1,5.0,,0.7016666666666667,0.008419332272605051,0.008284932628042196,0.38076551339226666
e09be8a8,run576a780261,10,3,3,4,4.1177,4.4687,3.5207,0.4149,0.3055,0.5081,0.1,5.0,,0.706,0.00838547352921959,0.008248185958409926,0.39966565815206867
e09be8a8,runaca5561f0b,10,3,3,4,4.1177,4.4687,3.5207,0.4149,0.3055,0.5081,0.1,5.0,,0.7126666666666667,0.00833161018234263,0.00818987964807627,0.3902905704688071
2d0394ed,runf81ef1484d,10,3,3,4,4.0361,3.6643,3.7981,0.3912,0.5732,0.3963,0.1,5.0,,0.673,0.008621284472776658,0.008505989571077288,0.3661064814524996
2d0394ed,run661149030c,10,3,3,4,4.0361,3.6643,3.7981,0.3912,0.5732,0.3963,0.1,5.0,,0.6766666666666666,0.00859753388294815,0.008479795351347685,0.35853779037993794
2d0394ed,run4c6331d451,10,3,3,4,4.0361,3.6643,3.7981,0.3912,0.5732,0.3963,0.1,5.0,,0.6763333333333333,0.008599717712240662,0.008482201328812944,0.359466710922262
a7116e13,run5545180406,10,3,3,4,3.9317,4.4691,3.9552,0.3784,0.4406,0.4779,0.1,5.0,,0.692,0.008491656451048879,0.008363699103498101,0.3554868877538113
a7116e13,run28f9af1bc6,10,3,3,4,3.9317,4.4691,3.9552,0.3784,0.4406,0.4779,0.1,5.0,,0.6903333333333334,0.008503685064141342,0.008376838457454738,0.3489691633441583
a7116e13,run350e70fef9,10,3,3,4,3.9317,4.4691,3.9552,0.3784,0.4406,0.4779,0.1,5.0,,0.705,0.008393367061447332,0.008256745935156129,0.35673613029842227
17023b24,run3a23fe638e,10,3,3,4,4.0124,4.4717,3.5683,0.3493,0.3701,0.4972,0.1,5.0,,0.675,0.008608403581019886,0.008491775790283373,0.367994157668936
17023b24,run80b974f33a,10,3,3,4,4.0124,4.4717,3.5683,0.3493,0.3701,0.4972,0.1,5.0,,0.6776666666666666,0.008590952662227314,0.008472547686108167,0.3730458800282554
17023b24,run6ae7313846,10,3,3,4,4.0124,4.4717,3.5683,0.3493,0.3701,0.4972,0.1,5.0,,0.6806666666666666,0.008570940458332177,0.00845053614865765,0.34190240940793437
22bdee14,runc52aa9f10b,10,3,3,4,3.5604,3.6574,4.154,0.4435,0.4589,0.3065,0.1,5.0,,0.691,0.00849888903517404,0.008371598132141722,0.3795085214826681
22bdee14,run3d344387d5,10,3,3,4,3.5604,3.6574,4.154,0.4435,0.4589,0.3065,0.1,5.0,,0.676,0.008601896592722036,0.008484602357467064,0.3957467569465062
22bdee14,run69c7358713,10,3,3,4,3.5604,3.6574,4.154,0.4435,0.4589,0.3065,0.1,5.0,,0.6916666666666667,0.008494072457320256,0.008366337257942225,0.38531477082841314
2b9e6f9c,runa4999a779a,10,3,3,4,3.8019,4.3059,4.1228,0.3947,0.4613,0.3984,0.1,5.0,,0.698,0.008447282944968215,0.008315326930306455,0.3793441683262488
2b9e6f9c,run126b3ba736,10,3,3,4,3.8019,4.3059,4.1228,0.3947,0.4613,0.3984,0.1,5.0,,0.6993333333333334,0.008437192730263887,0.008304348122910699,0.38563081676983224
2b9e6f9c,runc642b83d84,10,3,3,4,3.8019,4.3059,4.1228,0.3947,0.4613,0.3984,0.1,5.0,,0.688,0.008520309869771148,0.00839501830029421,0.39397611440946145
55595ea2,runa9d27b36cd,10,3,3,4,3.7836,3.885,3.8866,0.3113,0.5657,0.3604,0.1,5.0,,0.6523333333333333,0.008744181982214716,0.008642660267230928,0.39676452051359845
