geometry_id,n_runs,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,muon_threshold_GeV,detection_efficiency,detection_efficiency_std,eff_lo,eff_lo_std,eff_hi,eff_hi_std,energy_resolution,energy_resolution_std
5254b251,3,10,3,3,4,4.2687,3.9591,3.6165,0.3332,0.5586,0.5514,0.1,5.0,,0.6926666666666667,0.007549834435270757,0.008485925269545095,5.528535051487277e-05,0.008357523625648603,6.031650594163434e-05,0.3672543020473527,0.007749061477520869
52cd97c9,3,10,3,3,4,4.4057,3.5705,4.252,0.4056,0.321,0.5024,0.1,5.0,,0.6661111111111112,0.0063799454310913654,0.008663715219128676,3.852799562726179e-05,0.008553011379667833,4.27797043011868e-05,0.35445788543465767,0.012528217253679818
5446aa68,3,10,3,3,4,3.5638,4.0458,3.8821,0.4968,0.4701,0.3464,0.1,5.0,,0.6893333333333334,0.002645751311064593,0.008510733375828897,1.8793129725991662e-05,0.008384553213660753,2.0556370428045894e-05,0.3865433593906826,0.011619390794768288
5618571e,3,10,3,3,4,4.464,4.3727,4.0113,0.5176,0.3608,0.5467,0.1,5.0,,0.6762222222222222,0.0060030856263289375,0.008599909496692612,3.930593929806816e-05,0.008482467162655808,4.330641293518318e-05,0.35415651760912326,0.005964963765351784
5686685d,3,10,3,3,4,4.0498,4.1634,3.5383,0.3143,0.371,0.4077,0.1,5.0,,0.6741111111111112,0.006406015691288722,0.008613543453760678,4.152573110698171e-05,0.00849750805815186,4.579473498094699e-05,0.3950652175224307,0.016740965580245275
5705e06c,3,10,3,3,4,4.3404,4.2166,4.3456,0.3396,0.444,0.3922,0.1,5.0,,0.7112222222222222,0.0023412563895228522,0.008343375126932728,1.9151066308269988e-05,0.008202607234748638,2.071137267324444e-05,0.3685972039558281,0.008493857254473845
572b087c,3,10,3,3,4,3.7744,3.7621,4.3478,0.4505,0.3242,0.5836,0.1,5.0,,0.6441111111111111,0.007676322421962566,0.008787200567903941,3.9190090793289854e-05,0.008691158507849886,4.4305462877436484e-05,0.35818290600437525,0.01727686063852653
5b886875,3,10,3,3,4,4.1617,4.0087,3.7006,0.5277,0.3933,0.3825,0.1,5.0,,0.7194444444444444,0.006012333003763866,0.008273999109052391,5.169297313232178e-05,0.008127751561938493,5.5699674744785906e-05,0.39140984926575734,0.008449346354475706
5bf62ca3,3,10,3,3,4,3.5894,3.9174,4.4785,0.3793,0.4802,0.4348,0.1,5.0,,0.7382222222222222,0.002411392712690069,0.00810433498673561,2.3129807796148462e-05,0.007945573092552135,2.473686676721411e-05,0.3807972311093157,0.009030023176971418
5d566c1d,3,10,3,3,4,3.6043,3.6071,3.5849,0.51,0.3395,0.3072,0.1,5.0,,0.6775555555555556,0.0010715167512214481,0.008591669024687146,7.057304298272035e-06,0.008473338097959063,7.771410472549162e-06,0.41428402171847734,0.03191839064344751
5f2481e9,3,10,3,3,4,3.8226,4.123,3.9012,0.5585,0.3181,0.386,0.1,5.0,,0.6937777777777777,0.0028738927014172588,0.008478555816086622,2.103668612074521e-05,0.008349413678280682,2.2951957409295938e-05,0.397309765315545,0.012707376793483448
60566e56,3,10,3,3,4,3.5843,4.2497,3.6773,0.4132,0.5778,0.536,0.1,5.0,,0.7072222222222222,0.006702680503046966,0.00837503335953449,5.3897800138140094e-05,0.008236931245424461,5.83646120328274e-05,0.36675328172469146,0.0049752148466218815
