geometry_id,run_id,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,detect_threshold_GeV,detection_efficiency,eff_lo,eff_hi,energy_resolution
02fd29b6,run93c34f03b8,10,3,3,4,3.9208,4.451,3.8779,0.415,0.426,0.4536,0.1,5.0,,0.7046666666666667,0.008395987543994399,0.008259588565875942,0.3568839896184771
70a61a10,run9d7268e88d,10,3,3,4,4.3829,4.1492,3.7444,0.3032,0.3888,0.5634,0.1,5.0,,0.7123333333333334,0.008334354940338184,0.00819284655424457,0.39242313665780726
70a61a10,run2d516f0113,10,3,3,4,4.3829,4.1492,3.7444,0.3032,0.3888,0.5634,0.1,5.0,,0.707,0.008377531758813284,0.00823957774348516,0.3504508199635543
70a61a10,rune4ee70703f,10,3,3,4,4.3829,4.1492,3.7444,0.3032,0.3888,0.5634,0.1,5.0,,0.7023333333333334,0.008414181731697612,0.008279337790789043,0.37366036150154047
396acebf,run4b93f2fcde,10,3,3,4,3.5204,3.5905,4.2402,0.3773,0.5634,0.4093,0.1,5.0,,0.6713333333333333,0.008631883499017112,0.008517699338181917,0.36742847629041464
396acebf,run43fc089285,10,3,3,4,3.5204,3.5905,4.2402,0.3773,0.5634,0.4093,0.1,5.0,,0.6693333333333333,0.008644440985900559,0.008531589714102283,0.36390395725804414
396acebf,rune88585688b,10,3,3,4,3.5204,3.5905,4.2402,0.3773,0.5634,0.4093,0.1,5.0,,0.6743333333333333,0.008612716901759132,0.008496533407368334,0.3599806978156558
f3858c75,runcbce7edd86,10,3,3,4,3.5371,3.7009,3.5054,0.524,0.3768,0.5866,0.1,5.0,,0.712,0.008337094234305509,0.008195807996384863,0.39112175528494586
f3858c75,run9cdd5427cb,10,3,3,4,3.5371,3.7009,3.5054,0.524,0.3768,0.5866,0.1,5.0,,0.707,0.008377531758813284,0.00823957774348516,0.3794951195388518
f3858c75,runc1a7c324f8,10,3,3,4,3.5371,3.7009,3.5054,0.524,0.3768,0.5866,0.1,5.0,,0.7203333333333334,0.008266959397621343,0.008120119455379826,0.36281174760059115
5f2481e9,run21863220c7,10,3,3,4,3.8226,4.123,3.9012,0.5585,0.3181,0.386,0.1,5.0,,0.6943333333333334,0.008474599916073355,0.00834508753131269,0.39588464058486883
5f2481e9,rune125012e05,10,3,3,4,3.8226,4.123,3.9012,0.5585,0.3181,0.386,0.1,5.0,,0.6906666666666667,0.008501289615973628,0.008374220861114057,0.4106696273767894
5f2481e9,runee73848320,10,3,3,4,3.8226,4.123,3.9012,0.5585,0.3181,0.386,0.1,5.0,,0.6963333333333334,0.008459777916212885,0.008328932642415299,0.3853750279849767
95a05dc4,run646196cf0d,10,3,3,4,4.4275,3.5222,3.8272,0.5064,0.4461,0.4265,0.1,5.0,,0.7206666666666667,0.008264081758313058,0.008117019667898795,0.37183658102159034
95a05dc4,runec24695ad3,10,3,3,4,4.4275,3.5222,3.8272,0.5064,0.4461,0.4265,0.1,5.0,,0.724,0.008234995707806836,0.008085712135664225,0.38239078333184684
95a05dc4,runc09b73002f,10,3,3,4,4.4275,3.5222,3.8272,0.5064,0.4461,0.4265,0.1,5.0,,0.7036666666666667,0.008403816980644296,0.0082680844470443,0.3542411737605411
689a9cf0,run3032c75c26,10,3,3,4,4.3528,4.3881,4.2542,0.3043,0.4315,0.5099,0.1,5.0,,0.6963333333333334,0.008459777916212885,0.008328932642415299,0.3587681950684124
689a9cf0,run49069b791c,10,3,3,4,4.3528,4.3881,4.2542,0.3043,0.4315,0.5099,0.1,5.0,,0.7006666666666667,0.008427018405829156,0.008293285205784762,0.38400578788338086
689a9cf0,runa8937d1759,10,3,3,4,4.3528,4.3881,4.2542,0.3043,0.4315,0.5099,0.1,5.0,,0.6906666666666667,0.008501289615973628,0.008374220861114057,0.36045527685935025
a90816f5,run41b16f1d17,10,3,3,4,4.4149,3.9943,4.4958,0.3693,0.324,0.3034,0.1,5.0,,0.7013333333333334,0.008421899602343408,0.008287722105953299,0.3872965718475805
a90816f5,run6a54605b5e,10,3,3,4,4.4149,3.9943,4.4958,0.3693,0.324,0.3034,0.1,5.0,,0.706,0.00838547352921959,0.008248185958409926,0.3922763435794467
a90816f5,runf00cecab13,10,3,3,4,4.4149,3.9943,4.4958,0.3693,0.324,0.3034,0.1,5.0,,0.7096666666666667,0.008356116771581878,0.008216385570871121,0.3969702685316422
0c8ccd20,runfdc7063c7a,10,3,3,4,4.3973,4.4864,4.4639,0.5802,0.5304,0.3903,0.1,5.0,,0.6923333333333334,0.008489235293711594,0.00836105579798807,0.38748086875314436
0c8ccd20,run93281b303c,10,3,3,4,4.3973,4.4864,4.4639,0.5802,0.5304,0.3903,0.1,5.0,,0.7133333333333334,0.008326104251573652,0.008183929420961578,0.3982686655614006
0c8ccd20,runa1454c1bb8,10,3,3,4,4.3973,4.4864,4.4639,0.5802,0.5304,0.3903,0.1,5.0,,0.7133333333333334,0.008326104251573652,0.008183929420961578,0.36687435436274657
3fef3a2c,runc69151511c,10,3,3,4,3.701,4.3995,4.1047,0.5042,0.336,0.3232,0.1,5.0,,0.706,0.00838547352921959,0.008248185958409926,0.38775605414047515
3fef3a2c,rundca191d7ee,10,3,3,4,3.701,4.3995,4.1047,0.5042,0.336,0.3232,0.1,5.0,,0.6946666666666667,0.00847214257034079,0.008342408037407378,0.41856334141463736
3fef3a2c,runc728f29216,10,3,3,4,3.701,4.3995,4.1047,0.5042,0.336,0.3232,0.1,5.0,,0.708,0.008369541605954045,0.00823092114610724,0.38169338303310224
e7d2a9e6,run46f28a7b26,10,3,3,4,4.2517,3.5024,3.9458,0.4624,0.4656,0.4337,0.1,5.0,,0.702,0.008416759650758054,0.008282137858022232,0.37285832585678513
e7d2a9e6,run389bae131f,10,3,3,4,4.2517,3.5024,3.9458,0.4624,0.4656,0.4337,0.1,5.0,,0.706,0.00838547352921959,0.008248185958409926,0.3851917134345751
e7d2a9e6,run8eacfd55d6,10,3,3,4,4.2517,3.5024,3.9458,0.4624,0.4656,0.4337,0.1,5.0,,0.708,0.008369541605954045,0.00823092114610724,0.3894796834227178
